日期,当前持仓,调整后方案
2022-08-08,1.0463212895018372,1.039599423693952
2022-08-09,1.0464366461023595,1.0373775388146873
2022-08-10,1.0472134083589029,1.0437590847689409
2022-08-11,1.0464404134160497,1.0427768154565207
2022-08-12,1.0472440470974034,1.0489132239006633
2022-08-15,1.0481310834254773,1.0509745896853135
2022-08-16,1.0483218853138654,1.0529073233862278
2022-08-17,1.0476644777467228,1.0512903751175928
2022-08-18,1.0473485638570506,1.050547420602426
2022-08-19,1.046769741394886,1.046381661212207
2022-08-22,1.046187180692263,1.0411803221494285
2022-08-23,1.046918782219649,1.0430985667883055
2022-08-24,1.0474221084571123,1.0415743886660338
2022-08-25,1.047927048220508,1.0479375719806368
2022-08-26,1.0473433125843876,1.0375414438174377
2022-08-29,1.046411188877073,1.035151334947398
2022-08-30,1.0468778890493637,1.032833475420349
2022-08-31,1.0462281219415384,1.0302868401606426
2022-09-01,1.0454540951399036,1.0287059115319226
2022-09-02,1.04547106761212,1.025746457673928
2022-09-05,1.0466869623537207,1.027158735800809
2022-09-06,1.0472876419230126,1.027590134395005
2022-09-07,1.04722904951072,1.0328444552797553
2022-09-08,1.0481210230683558,1.0347082634642455
2022-09-09,1.0485497468818128,1.04069668595962
2022-09-13,1.0477747593614077,1.0292247993391284
2022-09-14,1.0470076431323192,1.0298476816161368
2022-09-15,1.0463833841653825,1.024183153802385
2022-09-16,1.0460417310943873,1.020889558783351
2022-09-19,1.0460517624542875,1.0228033334968178
2022-09-20,1.0464629437087145,1.0211182137351476
2022-09-21,1.0467569527748013,1.016706382866232
2022-09-22,1.0464013210719496,1.0141062782946721
2022-09-23,1.0469271499980637,1.0101154832328274
2022-09-26,1.0460199395863907,1.0080933894293418
2022-09-27,1.046075181225,1.0114851499523418
2022-09-28,1.0462073906634413,1.0166091263887358
2022-09-29,1.0468665596400033,1.010666316664923
2022-09-30,1.0469051462882424,1.005442958521836
2022-10-10,1.0483191183124105,1.0048580095995623
2022-10-11,1.0481096200221653,1.0028893766346139
2022-10-12,1.0483714183755177,1.0043368242826853
2022-10-13,1.0488877334895597,1.0099515665530023
2022-10-14,1.0485135601592492,1.0047417743010885
2022-10-17,1.0486508505775278,1.0126027788938046
